Problem	File	Simplify		Z3		Yices		
	decproc1.key	0.0	val	0.1	val	0.0	val	
	count2.key	0.0	val	0.0	val	0.0	val	
	decproc2.key	0.1	unk	0.1	val	10.0	unk	
	decproc3.key	0.5	val	0.1	val	10.0	unk	
	decproc3-shortened.key	0.1	val	0.0	val	10.0	unk	
	count3.key	0.0	val	0.0	val	0.0	val	
	count.key	0.0	val	0.0	val	0.0	val	
	equalities2.key	0.0	val	0.0	val	0.0	unk	
	ics_ist_ueberfordert.key	0.0	val	0.0	val	0.0	val	
	subsorts.key	0.0	val	0.0	val	0.0	val	
	equalities3.key	0.0	val	0.0	val	0.0	unk	
	equalities.key	0.0	val	0.0	val	0.0	val	
	exist1.key	0.0	val	0.0	val	0.0	val	
	functions.key	0.0	val	0.0	val	0.0	val	
	mv1.key	0.0	val	0.0	val	0.0	val	
	mv2.key	0.0	val	0.0	val	0.0	val	
	mv3.key	0.0	inv	0.0	unk	0.0	unk	
	quantifiers.key	0.0	val	0.0	val	0.0	val	
	sameName1.key	0.0	inv	0.0	unk	0.0	inv	
	simpleEps.key	0.0	val	0.0	val	0.0	val	
	PUZ001p1-eq.key	10.1	unk	0.0	val	0.0	val	
	PUZ001p1.key	0.7	val	10.0	unk	0.1	val	
	PUZ031p1.key	0.7	val	0.2	val	1.8	val	
	PUZ047p1.key	0.3	val	3.3	val	2.4	unk	
